Rule,Support,Confidence,Lift
μm以下の疲労摩耗粒子 検出する ナトリウム 検出する =>マンガン クロム 含む,0.03571428571428571,1.0,28.0
μm以下の疲労摩耗粒子 検出する リン 検出する =>マンガン クロム 含む,0.03571428571428571,1.0,28.0
μm以下の疲労摩耗粒子 検出する 亜鉛 検出する =>マンガン クロム 含む,0.03571428571428571,1.0,28.0
μm以下の疲労摩耗粒子 検出する 粒子 検出する =>マンガン クロム 含む,0.03571428571428571,1.0,28.0
μm以下の疲労摩耗粒子 検出する 良好の範囲 異常摩耗の早期発見パラメータであるIs値がの乗 ある =>マンガン クロム 含む,0.03571428571428571,1.0,28.0
μm以下の疲労摩耗粒子 検出する 鉄 検出する =>マンガン クロム 含む,0.03571428571428571,1.0,28.0
カルシウム 検出する リン 検出する =>マンガン クロム 含む,0.03571428571428571,1.0,28.0
カルシウム 検出する 粒子 検出する =>マンガン クロム 含む,0.03571428571428571,1.0,28.0
カルシウム 検出する 良好の範囲 異常摩耗の早期発見パラメータであるIs値がの乗 ある =>マンガン クロム 含む,0.03571428571428571,1.0,28.0
ナトリウム 検出する リン 検出する =>マンガン クロム 含む,0.03571428571428571,1.0,28.0
ナトリウム 検出する 粒子 検出する =>マンガン クロム 含む,0.03571428571428571,1.0,28.0
ナトリウム 検出する 良好の範囲 異常摩耗の早期発見パラメータであるIs値がの乗 ある =>マンガン クロム 含む,0.03571428571428571,1.0,28.0
リン 検出する 粒子 検出する =>マンガン クロム 含む,0.03571428571428571,1.0,28.0
リン 検出する 良好の範囲 異常摩耗の早期発見パラメータであるIs値がの乗 ある =>マンガン クロム 含む,0.03571428571428571,1.0,28.0
亜鉛 検出する 粒子 検出する =>マンガン クロム 含む,0.03571428571428571,1.0,28.0
亜鉛 検出する 良好の範囲 異常摩耗の早期発見パラメータであるIs値がの乗 ある =>マンガン クロム 含む,0.03571428571428571,1.0,28.0
粒子 検出する 良好の範囲 異常摩耗の早期発見パラメータであるIs値がの乗 ある =>マンガン クロム 含む,0.03571428571428571,1.0,28.0
粒子 検出する 鉄 検出する =>マンガン クロム 含む,0.03571428571428571,1.0,28.0
良好の範囲 異常摩耗の早期発見パラメータであるIs値がの乗 ある 鉄 検出する =>マンガン クロム 含む,0.03571428571428571,1.0,28.0
スラッジ 鉄 微細 =>リン 使用油である日石タービン 含む,0.03571428571428571,1.0,28.0
スラッジの発生重量汚染度 上昇する =>リン 使用油である日石タービン 含む,0.03571428571428571,1.0,28.0
亜鉛 使用油である日石タービン 含む =>リン 使用油である日石タービン 含む,0.03571428571428571,1.0,28.0
表面 フィルタ表面の異物観察 当社推奨の管理限界値 なる =>リン 使用油である日石タービン 含む,0.03571428571428571,1.0,28.0
表面 茶褐色 当社推奨の管理限界値 なる =>リン 使用油である日石タービン 含む,0.03571428571428571,1.0,28.0
軸受軌道面の油膜形成 及ぼす =>リン 使用油である日石タービン 含む,0.03571428571428571,1.0,28.0
mg/ml 上昇する リン 検出する =>リン 使用油である日石タービン 含む,0.03571428571428571,1.0,28.0
mg/ml 上昇する 亜鉛 検出する =>リン 使用油である日石タービン 含む,0.03571428571428571,1.0,28.0
mg/ml 上昇する 鉄 検出する =>リン 使用油である日石タービン 含む,0.03571428571428571,1.0,28.0
リン 検出する 当社推奨の管理限界値 上昇する =>リン 使用油である日石タービン 含む,0.03571428571428571,1.0,28.0
亜鉛 検出する 当社推奨の管理限界値 上昇する =>リン 使用油である日石タービン 含む,0.03571428571428571,1.0,28.0
当社推奨の管理限界値 上昇する 鉄 検出する =>リン 使用油である日石タービン 含む,0.03571428571428571,1.0,28.0
スラッジ 鉄 微細 =>亜鉛 使用油である日石タービン 含む,0.03571428571428571,1.0,28.0
スラッジの発生重量汚染度 上昇する =>亜鉛 使用油である日石タービン 含む,0.03571428571428571,1.0,28.0
リン 使用油である日石タービン 含む =>亜鉛 使用油である日石タービン 含む,0.03571428571428571,1.0,28.0
表面 フィルタ表面の異物観察 当社推奨の管理限界値 なる =>亜鉛 使用油である日石タービン 含む,0.03571428571428571,1.0,28.0
表面 茶褐色 当社推奨の管理限界値 なる =>亜鉛 使用油である日石タービン 含む,0.03571428571428571,1.0,28.0
軸受軌道面の油膜形成 及ぼす =>亜鉛 使用油である日石タービン 含む,0.03571428571428571,1.0,28.0
mg/ml 上昇する リン 検出する =>亜鉛 使用油である日石タービン 含む,0.03571428571428571,1.0,28.0
mg/ml 上昇する 亜鉛 検出する =>亜鉛 使用油である日石タービン 含む,0.03571428571428571,1.0,28.0
mg/ml 上昇する 鉄 検出する =>亜鉛 使用油である日石タービン 含む,0.03571428571428571,1.0,28.0
